SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
33.0185,18.0794,35,27,45.9804,14.3536,23,27,44.6654,6.56763,26,23,36.9718,4.95562,24,26,38.5571,5.95008,40,25,40.0683,9.83879,29,30,36.9607,0.004,9.95753,1.04361,35.4162,4.5,16.3857,0.166667,5,42.445
33.0185,18.0794,35,27,45.9804,14.3536,23,27,44.6654,6.56763,26,23,36.9718,4.95562,20,26,38.5571,5.95008,40,25,40.0683,9.83879,29,30,36.9607,0.004,9.95753,1.0012,36.9162,4.5,5.89886,0,6,42.3004
33.5453,9.9021,28,27,37.4565,8.40059,20,23,23.1283,15.5992,32,28,29.7979,11.5404,20,26,52.0035,21.7668,58,29,31.631,7.35049,25,25,33.2632,0.005,12.4266,0.902901,36.8403,1.5,5.01507,0,6,47.9953
55.0371,16.551,37,25,38.9836,9.01505,20,23,24.6947,14.9978,31,29,25.0137,6.83311,20,22,21.5777,22.744,51,31,10.9714,9.56301,35,28,42.9435,0.003,13.284,1.1495,37.3585,1.5,10.041,0,6,64.3063
10.5005,15.5065,29,20,23.0769,18.1156,24,23,18.3833,13.5431,29,27,12.7535,20.0686,24,25,17.0912,19.3988,46,31,36.3582,9.92867,28,30,29.399,0.003,16.0936,0.786578,37.3759,4.5,8.43636,0,6,29.133
10.5005,15.5065,29,22,23.0769,18.1156,24,23,18.3833,13.5431,29,25,12.7535,20.0686,34,25,17.0912,19.3988,46,31,36.3582,9.92867,43,29,37.1278,0.003,16.0936,1.04457,35.5437,4.5,18.2704,0.166667,5,42.6416
54.6059,14.5696,36,23,50.682,8.75551,29,22,32.761,23.5615,40,31,59.2988,5.84678,20,26,29.9566,12.3545,44,22,58.7463,2.54329,25,23,43.8412,0.002,11.2719,1.20532,36.3731,3.5,6.5819,0,6,58.287
50.8262,17.055,32,29,55.7881,18.1601,24,27,39.1068,4.48031,19,26,11.5398,9.35352,20,25,31.8408,5.23012,32,22,30.0339,16.5646,28,27,29.7524,0.008,11.8073,0.845971,35.1695,0.5,27.8605,0.166667,5,45.707
23.109,19.764,30,26,45.736,21.6862,25,28,46.736,22.4304,37,28,12.1741,10.9521,20,22,43.4031,9.32866,40,22,59.268,14.3411,48,25,35.7567,0.007,16.4171,0.985216,36.2932,0.5,8.74332,0,6,56.316
23.109,19.764,30,26,45.736,21.6862,25,28,46.736,22.4304,37,28,12.1741,10.9521,20,20,43.4031,9.32866,40,22,59.268,14.3411,30,23,35.7567,0.007,16.4171,0.989995,36.118,0.5,8.74332,0,6,56.3682
45.9585,13.0714,32,26,14.3232,20.2559,25,29,11.036,11.9552,26,31,10.3728,14.4509,29,29,46.7215,10.7404,48,26,24.1229,13.2645,42,26,27.1185,0.008,13.9564,0.742121,36.5419,3.5,23.2498,0.166667,5,28.9539
20.8591,15.8269,32,25,25.335,18.5563,24,22,36.06,11.1931,30,23,48.4472,10.613,21,24,26.3959,26.6373,54,30,30.0114,19.3037,36,30,50.5436,0.007,17.0217,1.3688,36.9254,2.5,14.0135,0,6,73.3563
13.0322,22.3977,31,26,44.3686,13.8367,28,29,36.2714,18.807,31,21,39.7637,26.2115,28,28,32.2658,10.6345,37,25,22.4015,13.0201,24,23,34.4134,0.009,17.4846,0.984223,34.965,0.5,24.2277,0.166667,5,53.9249
13.0322,22.3977,42,28,44.3686,13.8367,20,29,36.2714,18.807,31,23,39.7637,26.2115,28,28,32.2658,10.6345,37,25,22.4015,13.0201,37,23,35.2074,0.009,17.4846,0.957463,36.7715,0.5,8.9232,0,6,55.2164
33.1086,21.4249,38,24,46.0508,16.746,26,22,39.9341,15.6663,34,28,45.3535,26.876,45,28,20.2565,14.2807,43,28,50.5722,7.2469,28,23,51.5617,0.002,17.0401,1.4731,35.0021,1.5,16.9721,0.166667,5,79.8081
33.1418,14.7157,32,26,12.2898,15.6745,20,30,53.7616,10.8163,32,26,49.4793,9.13755,20,27,54.5552,9.78592,49,24,43.7497,5.21806,41,23,32.3336,0.004,10.8913,0.87987,36.7481,3.5,9.16484,0,6,38.3045
50.8206,13.7643,34,24,47.17,16.7062,37,22,45.4069,16.334,35,27,18.5894,13.3414,20,23,59.7385,25.1649,63,30,39.7328,13.0249,31,23,62.615,0.008,16.3893,1.72446,36.3099,2.5,8.90964,0,6,94.506
50.8206,13.7643,34,24,47.17,16.7062,27,22,45.4069,16.334,35,27,18.5894,13.3414,29,21,59.7385,25.1649,63,30,39.7328,13.0249,31,21,62.615,0.008,16.3893,1.73148,36.1627,2.5,17.4629,0,6,94.3174
23.8638,11.9521,28,27,19.6122,14.1711,20,31,32.6225,18.126,35,26,38.655,0.957506,20,22,50.5831,18.3334,55,28,58.8892,12.3596,34,30,34.8801,0.003,12.65,0.956991,36.4477,3.5,25.7439,0.166667,5,42.2729
34.6039,19.7744,32,28,22.4346,9.17756,21,27,26.2232,11.8511,23,26,23.6855,21.0014,21,28,42.128,7.43849,38,24,41.936,4.92167,36,22,35.709,0.006,12.3608,0.976432,36.5709,0.5,9.32252,0,6,56.1396
11.4929,16.7141,31,26,51.0561,9.00516,30,25,29.0835,6.33755,24,26,15.1353,15.4467,30,25,23.0608,15.321,44,25,55.8768,16.1345,37,25,30.928,0.006,13.1598,0.894878,34.5611,3.5,12.9528,0.166667,5,36.3675
11.4929,16.7141,31,26,51.0561,9.00516,20,25,29.0835,6.33755,24,24,15.1353,15.4467,30,27,23.0608,15.321,44,25,55.8768,16.1345,55,25,30.928,0.006,13.1598,0.856751,36.0992,3.5,4.663,0,6,36.1882
